specie,obj,ability,HP,Atk,Def,SpA,SpD,Spe,nature,iv_HP,iv_Atk,iv_Def,iv_SpA,iv_SpD,iv_Spe,move1,move2,move3,move4,teammate1,teammate2,teammate3,teammate4,teammate5
Naganadel,Focus Sash ,Beast Boost,0,0,0,0,0,0,Quirky,31,0,31,31,31,31,Sludge Bomb,Snarl,Draco Meteor,Charm,Xerneas,Rotom-Heat,Milotic,Amoonguss,Landorus-Therian
Groudon,Sitrus Berry ,Drought,0,0,0,0,0,0,,31,31,31,31,31,31,Precipice Blades,Rock Slide,Swords Dance,Protect,Venusaur-Gmax,Charizard-Gmax,Incineroar,Umbreon,Regieleki
Venusaur-Gmax,Focus Sash ,Chlorophyll,0,0,0,0,0,0,,31,31,31,31,31,31,Leaf Storm,Sludge Bomb,Weather Ball,Sleep Powder,Groudon,Charizard-Gmax,Incineroar,Umbreon,Regieleki
Charizard-Gmax,Life Orb ,Solar Power,0,0,0,0,0,0,,31,31,31,31,31,31,Blast Burn,Heat Wave,Air Slash,Protect,Groudon,Venusaur-Gmax,Incineroar,Umbreon,Regieleki
Incineroar,Assault Vest ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Flare Blitz,Darkest Lariat,U-turn,Fake Out,Groudon,Venusaur-Gmax,Charizard-Gmax,Umbreon,Regieleki
Umbreon,Leftovers ,Inner Focus,0,0,0,0,0,0,,31,31,31,31,31,31,Foul Play,Snarl,Yawn,Moonlight,Groudon,Venusaur-Gmax,Charizard-Gmax,Incineroar,Regieleki
Regieleki,Magnet ,Transistor,0,0,0,0,0,0,,31,31,31,31,31,31,Thunderbolt,Volt Switch,Electroweb,Protect,Groudon,Venusaur-Gmax,Charizard-Gmax,Incineroar,Umbreon
Dragapult,Life Orb ,Clear Body,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Dragon Darts,Phantom Force,Fly,Surf,Coalossal-Gmax,Urshifu-Rapid-Strike,Zacian-Crowned,Incineroar,Amoonguss
Coalossal-Gmax,Weakness Policy ,Steam Engine,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Meteor Beam,Heat Wave,Earth Power,Protect,Dragapult,Urshifu-Rapid-Strike,Zacian-Crowned,Incineroar,Amoonguss
Urshifu-Rapid-Strike,Focus Sash ,Unseen Fist,0,0,0,0,0,0,,31,31,31,31,31,31,Surging Strikes,Aqua Jet,Close Combat,Detect,Dragapult,Coalossal-Gmax,Zacian-Crowned,Incineroar,Amoonguss
Zacian-Crowned,Rusted Sword ,Intrepid Sword,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Behemoth Blade,Close Combat,Substitute,Protect,Dragapult,Coalossal-Gmax,Urshifu-Rapid-Strike,Incineroar,Amoonguss
Incineroar,Assault Vest ,Intimidate,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Fake Out,Flare Blitz,Snarl,U-turn,Dragapult,Coalossal-Gmax,Urshifu-Rapid-Strike,Zacian-Crowned,Amoonguss
Amoonguss,Coba Berry ,Regenerator,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Spore,Rage Powder,Giga Drain,Protect,Dragapult,Coalossal-Gmax,Urshifu-Rapid-Strike,Zacian-Crowned,Incineroar
Groudon,White Herb ,Drought,0,0,0,0,0,0,,31,31,31,31,31,31,Precipice Blades,Rock Slide,Swords Dance,Protect,Venusaur,Regieleki,Gastrodon,Charizard,Landorus-Therian
Venusaur,Coba Berry ,Chlorophyll,0,0,0,0,0,0,,31,0,31,31,31,31,Leaf Storm,Earth Power,Weather Ball,Sleep Powder,Groudon,Regieleki,Gastrodon,Charizard,Landorus-Therian
Regieleki,Focus Sash ,Transistor,0,0,0,0,0,0,,31,31,31,31,31,31,Electroweb,Eerie Impulse,Thunderbolt,Protect,Groudon,Venusaur,Gastrodon,Charizard,Landorus-Therian
Gastrodon,Leftovers ,Storm Drain,0,0,0,0,0,0,,31,31,31,31,31,31,Earth Power,Ice Beam,Yawn,Protect,Groudon,Venusaur,Regieleki,Charizard,Landorus-Therian
Charizard,Life Orb ,Solar Power,0,0,0,0,0,0,,31,31,31,31,31,31,Blast Burn,Hurricane,Heat Wave,Protect,Groudon,Venusaur,Regieleki,Gastrodon,Landorus-Therian
Landorus-Therian,Lum Berry ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Earthquake,Fly,Rock Slide,Swords Dance,Groudon,Venusaur,Regieleki,Gastrodon,Charizard
Coalossal-Gmax,Weakness Policy ,Steam Engine,0,0,0,0,0,0,,31,31,31,31,31,31,Meteor Beam,Heat Wave,Earth Power,Protect,Dragapult,Urshifu-Rapid-Strike-Gmax,Incineroar,Amoonguss,Zacian-Crowned
Dragapult,Life Orb ,Clear Body,0,0,0,0,0,0,,31,31,31,31,31,31,Phantom Force,Dragon Darts,Fly,Surf,Coalossal-Gmax,Urshifu-Rapid-Strike-Gmax,Incineroar,Amoonguss,Zacian-Crowned
Urshifu-Rapid-Strike-Gmax,Focus Sash ,Unseen Fist,0,0,0,0,0,0,,31,31,31,31,31,31,Surging Strikes,Close Combat,Aqua Jet,Protect,Coalossal-Gmax,Dragapult,Incineroar,Amoonguss,Zacian-Crowned
Incineroar,Assault Vest ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Flare Blitz,Lash Out,U-turn,Fake Out,Coalossal-Gmax,Dragapult,Urshifu-Rapid-Strike-Gmax,Amoonguss,Zacian-Crowned
Amoonguss,Coba Berry ,Regenerator,0,0,0,0,0,0,,31,31,31,31,31,31,Pollen Puff,Rage Powder,Spore,Protect,Coalossal-Gmax,Dragapult,Urshifu-Rapid-Strike-Gmax,Incineroar,Zacian-Crowned
Zacian-Crowned,Rusted Sword ,Intrepid Sword,0,0,0,0,0,0,,31,31,31,31,31,31,Behemoth Blade,Close Combat,Substitute,Protect,Coalossal-Gmax,Dragapult,Urshifu-Rapid-Strike-Gmax,Incineroar,Amoonguss
Dragapult,Life Orb ,Clear Body,0,0,0,0,0,0,,31,31,31,31,31,31,Dragon Darts,Phantom Force,Fly,Surf,Zacian-Crowned,Coalossal-Gmax,Urshifu-Rapid-Strike-Gmax,Rillaboom-Gmax,Landorus-Therian
Zacian-Crowned,Rusted Sword ,Intrepid Sword,0,0,0,0,0,0,,31,31,31,31,31,31,Behemoth Blade,Sacred Sword,Substitute,Protect,Dragapult,Coalossal-Gmax,Urshifu-Rapid-Strike-Gmax,Rillaboom-Gmax,Landorus-Therian
Coalossal-Gmax,Weakness Policy ,Steam Engine,0,0,0,0,0,0,,31,31,31,31,31,31,Meteor Beam,Heat Wave,Ancient Power,Protect,Dragapult,Zacian-Crowned,Urshifu-Rapid-Strike-Gmax,Rillaboom-Gmax,Landorus-Therian
Urshifu-Rapid-Strike-Gmax,Focus Sash ,Unseen Fist,0,0,0,0,0,0,,31,31,31,31,31,31,Surging Strikes,Close Combat,Aqua Jet,Protect,Dragapult,Zacian-Crowned,Coalossal-Gmax,Rillaboom-Gmax,Landorus-Therian
Rillaboom-Gmax,Miracle Seed ,Grassy Surge,0,0,0,0,0,0,,31,31,31,31,31,31,Fake Out,Grassy Glide,Wood Hammer,Protect,Dragapult,Zacian-Crowned,Coalossal-Gmax,Urshifu-Rapid-Strike-Gmax,Landorus-Therian
Landorus-Therian,Lum Berry ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Earthquake,Fly,Rock Slide,Swords Dance,Dragapult,Zacian-Crowned,Coalossal-Gmax,Urshifu-Rapid-Strike-Gmax,Rillaboom-Gmax
